day,diversity,replicate,competition,clone,rotifers,method_r,protist,method_p,NOTES
0,Low,A,FALSE,1,1,slide ,,slide,start time for rotifer only 
0,Low,A,FALSE,2,2,slide ,,slide,7:15am
0,Low,A,FALSE,3,3,slide ,,slide,end time
0,Low,A,FALSE,4,4,slide ,,slide,8:06am
0,Low,A,FALSE,5,2,slide ,,slide,
0,Low,B,FALSE,1,2,slide ,,slide,
0,Low,B,FALSE,2,1,slide ,,slide,
0,Low,B,FALSE,3,2,slide ,,slide,
0,Low,B,FALSE,4,1,slide ,,slide,
0,Low,B,FALSE,5,3,slide ,,slide,
0,Low,C,FALSE,1,2,slide ,,slide,
0,Low,C,FALSE,2,1,slide ,,slide,
0,Low,C,FALSE,3,3,slide ,,slide,
0,Low,C,FALSE,4,3,slide ,,slide,
0,Low,C,FALSE,5,1,slide ,,slide,
0,Low,D,TRUE,1,0,slide ,2,slide,
0,Low,D,TRUE,2,2,slide ,21,slide,
0,Low,D,TRUE,3,3,slide ,29,slide,
0,Low,D,TRUE,4,0,slide ,32,slide,
0,Low,D,TRUE,5,4,slide ,22,slide,
0,Low,E,TRUE,1,6,slide ,36,slide,
0,Low,E,TRUE,2,4,slide ,19,slide,
0,Low,E,TRUE,3,0,slide ,21,slide,
0,Low,E,TRUE,4,2,slide ,13,slide,
0,Low,E,TRUE,5,4,slide ,27,slide,
0,Low,F,TRUE,1,2,slide ,21,slide,
0,Low,F,TRUE,2,5,slide ,24,slide,
0,Low,F,TRUE,3,6,slide ,21,slide,
0,Low,F,TRUE,4,2,slide ,10,slide,
0,Low,F,TRUE,5,3,slide ,29,slide,
0,High,A,FALSE,mix,2,slide ,,slide,
0,High,B,FALSE,mix,6,slide ,,slide,
0,High,C,FALSE,mix,1,slide ,,slide,
0,High,D,TRUE,mix,6,slide ,24,slide,
0,High,E,TRUE,mix,4,slide ,28,slide,
0,High,F,TRUE,mix,4,slide ,14,slide,
1,Low,A,FALSE,1,1,slide ,,line,start time 11;24
1,Low,A,FALSE,2,1,slide ,,line,end time 12;43
1,Low,A,FALSE,3,2,slide ,,line,
1,Low,A,FALSE,4,0,slide ,,line,
1,Low,A,FALSE,5,4,slide ,,line,
1,Low,B,FALSE,1,3,slide ,,line,
1,Low,B,FALSE,2,5,slide ,,line,
1,Low,B,FALSE,3,5,slide ,,line,
1,Low,B,FALSE,4,4,slide ,,line,
1,Low,B,FALSE,5,2,slide ,,line,
1,Low,C,FALSE,1,1,slide ,,line,
1,Low,C,FALSE,2,2,slide ,,line,
1,Low,C,FALSE,3,2,slide ,,line,
1,Low,C,FALSE,4,7,slide ,,line,
1,Low,C,FALSE,5,0,slide ,,line,
1,Low,D,TRUE,1,2,slide ,22,line,
1,Low,D,TRUE,2,0,slide ,18,line,
1,Low,D,TRUE,3,0,slide ,35,line,
1,Low,D,TRUE,4,0,slide ,10,line,
1,Low,D,TRUE,5,0,slide ,35,line,
1,Low,E,TRUE,1,2,slide ,19,line,
1,Low,E,TRUE,2,0,slide ,15,line,
1,Low,E,TRUE,3,3,slide ,21,line,
1,Low,E,TRUE,4,5,slide ,18,line,
1,Low,E,TRUE,5,1,slide ,13,line,
1,Low,F,TRUE,1,1,slide ,25,line,
1,Low,F,TRUE,2,3,slide ,17,line,
1,Low,F,TRUE,3,5,slide ,11,line,
1,Low,F,TRUE,4,3,slide ,21,line,
1,Low,F,TRUE,5,0,slide ,33,line,
1,High,A,FALSE,mix,2,slide ,,line,
1,High,B,FALSE,mix,0,slide ,,line,
1,High,C,FALSE,mix,0,slide ,,line,
1,High,D,TRUE,mix,1,slide ,18,line,
1,High,E,TRUE,mix,0,slide ,20,line,
1,High,F,TRUE,mix,1,slide ,14,line,
2,Low,A,FALSE,1,9,slide ,,line,start Time: 7;14am
2,Low,A,FALSE,2,2,slide ,,line,end time:9;03am
2,Low,A,FALSE,3,4,slide ,,line,
2,Low,A,FALSE,4,0,slide ,,line,
2,Low,A,FALSE,5,3,slide ,,line,
2,Low,B,FALSE,1,7,slide ,,line,
2,Low,B,FALSE,2,5,slide ,,line,
2,Low,B,FALSE,3,4,slide ,,line,
2,Low,B,FALSE,4,2,slide ,,line,
2,Low,B,FALSE,5,1,slide ,,line,
2,Low,C,FALSE,1,2,slide ,,line,
2,Low,C,FALSE,2,4,slide ,,line,
2,Low,C,FALSE,3,3,slide ,,line,
2,Low,C,FALSE,4,1,slide ,,line,
2,Low,C,FALSE,5,2,slide ,,line,
2,Low,D,TRUE,1,4,slide ,47,line,
2,Low,D,TRUE,2,1,slide ,41,line,
2,Low,D,TRUE,3,1,slide ,28,line,
2,Low,D,TRUE,4,1,slide ,45,line,
2,Low,D,TRUE,5,0,slide ,36,line,
2,Low,E,TRUE,1,7,slide ,50,line,
2,Low,E,TRUE,2,0,slide ,33,line,
2,Low,E,TRUE,3,1,slide ,23,line,
2,Low,E,TRUE,4,4,slide ,38,line,
2,Low,E,TRUE,5,4,slide ,22,line,
2,Low,F,TRUE,1,5,slide ,52,line,
2,Low,F,TRUE,2,0,slide ,23,line,
2,Low,F,TRUE,3,2,slide ,20,line,
2,Low,F,TRUE,4,1,slide ,50,line,
2,Low,F,TRUE,5,1,slide ,44,line,
2,High,A,FALSE,mix,0,slide ,,line,
2,High,B,FALSE,mix,2,slide ,,line,
2,High,C,FALSE,mix,0,slide ,,line,
2,High,D,TRUE,mix,2,slide ,48,line,
2,High,E,TRUE,mix,4,slide ,44,line,
2,High,F,TRUE,mix,6,slide ,31,line,
3,Low,A,FALSE,1,6,slide ,,line,start time 9:43am
3,Low,A,FALSE,2,1,slide ,,line,end time 11:09am
3,Low,A,FALSE,3,1,slide ,,line,
3,Low,A,FALSE,4,1,slide ,,line,
3,Low,A,FALSE,5,12,slide ,,line,
3,Low,B,FALSE,1,0,slide ,,line,
3,Low,B,FALSE,2,2,slide ,,line,
3,Low,B,FALSE,3,2,slide ,,line,
3,Low,B,FALSE,4,2,slide ,,line,
3,Low,B,FALSE,5,0,slide ,,line,
3,Low,C,FALSE,1,1,slide ,,line,
3,Low,C,FALSE,2,1,slide ,,line,
3,Low,C,FALSE,3,4,slide ,,line,
3,Low,C,FALSE,4,5,slide ,,line,
3,Low,C,FALSE,5,4,slide ,,line,
3,Low,D,TRUE,1,4,slide ,51,line,
3,Low,D,TRUE,2,4,slide ,45,line,
3,Low,D,TRUE,3,3,slide ,40,line,
3,Low,D,TRUE,4,1,slide ,19,line,
3,Low,D,TRUE,5,3,slide ,34,line,
3,Low,E,TRUE,1,2,slide ,37,line,
3,Low,E,TRUE,2,2,slide ,41,line,
3,Low,E,TRUE,3,2,slide ,24,line,
3,Low,E,TRUE,4,5,slide ,49,line,
3,Low,E,TRUE,5,0,slide ,23,line,
3,Low,F,TRUE,1,2,slide ,46,line,
3,Low,F,TRUE,2,2,slide ,36,line,
3,Low,F,TRUE,3,0,slide ,60,line,
3,Low,F,TRUE,4,6,slide ,41,line,
3,Low,F,TRUE,5,5,slide ,70,line,
3,High,A,FALSE,mix,1,slide ,,line,
3,High,B,FALSE,mix,1,slide ,,line,
3,High,C,FALSE,mix,0,slide ,,line,
3,High,D,TRUE,mix,4,slide ,45,line,
3,High,E,TRUE,mix,0,slide ,62,line,
3,High,F,TRUE,mix,2,slide ,65,line,
4,Low,A,FALSE,1,5,slide ,,line,start time ~ 12:31pm
4,Low,A,FALSE,2,1,slide ,,line,end time~ 1:55pm
4,Low,A,FALSE,3,6,slide ,,line,
4,Low,A,FALSE,4,4,slide ,,line,
4,Low,A,FALSE,5,5,slide ,,line,
4,Low,B,FALSE,1,14,slide ,,line,
4,Low,B,FALSE,2,4,slide ,,line,
4,Low,B,FALSE,3,9,slide ,,line,
4,Low,B,FALSE,4,7,slide ,,line,
4,Low,B,FALSE,5,5,slide ,,line,
4,Low,C,FALSE,1,13,slide ,,line,
4,Low,C,FALSE,2,6,slide ,,line,
4,Low,C,FALSE,3,3,slide ,,line,
4,Low,C,FALSE,4,7,slide ,,line,
4,Low,C,FALSE,5,3,slide ,,line,
4,Low,D,TRUE,1,6,slide ,70,line,
4,Low,D,TRUE,2,0,slide ,56,line,
4,Low,D,TRUE,3,4,slide ,115,line,
4,Low,D,TRUE,4,1,slide ,67,line,
4,Low,D,TRUE,5,4,slide ,62,line,
4,Low,E,TRUE,1,7,slide ,52,line,
4,Low,E,TRUE,2,3,slide ,68,line,
4,Low,E,TRUE,3,7,slide ,96,line,
4,Low,E,TRUE,4,1,slide ,171,line,
4,Low,E,TRUE,5,6,slide ,110,line,
4,Low,F,TRUE,1,8,slide ,101,line,
4,Low,F,TRUE,2,5,slide ,87,line,
4,Low,F,TRUE,3,3,slide ,134,line,
4,Low,F,TRUE,4,3,slide ,119,line,
4,Low,F,TRUE,5,0,slide ,142,line,
4,High,A,FALSE,mix,6,slide ,,line,
4,High,B,FALSE,mix,3,slide ,,line,
4,High,C,FALSE,mix,8,slide ,,line,
4,High,D,TRUE,mix,5,slide ,85,line,
4,High,E,TRUE,mix,0,slide ,91,line,
4,High,F,TRUE,mix,3,slide ,80,line,
5,Low,A,FALSE,1,9,slide ,,line,
5,Low,A,FALSE,2,4,slide ,,line,
5,Low,A,FALSE,3,17,slide ,,line,
5,Low,A,FALSE,4,5,slide ,,line,
5,Low,A,FALSE,5,7,slide ,,line,
5,Low,B,FALSE,1,14,slide ,,line,
5,Low,B,FALSE,2,8,slide ,,line,
5,Low,B,FALSE,3,10,slide ,,line,
5,Low,B,FALSE,4,12,slide ,,line,
5,Low,B,FALSE,5,8,slide ,,line,
5,Low,C,FALSE,1,11,slide ,,line,
5,Low,C,FALSE,2,4,slide ,,line,
5,Low,C,FALSE,3,11,slide ,,line,
5,Low,C,FALSE,4,10,slide ,,line,
5,Low,C,FALSE,5,9,slide ,,line,
5,Low,D,TRUE,1,7,slide ,44,line,
