Day ,Treatment,clone,Completeition,Replicates ,rotifers,rotifer method,protist, protist method:,notes 
0,Low,A,FALSE,1,1,slide ,,line,start 12;29pm
0,Low,A,FALSE,2,0,slide ,,line,end
0,Low,A,FALSE,3,0,slide ,,line,
0,Low,A,FALSE,4,2,slide ,,line,
0,Low,A,FALSE,5,1,slide ,,line,
0,Low,B,FALSE,1,0,slide ,,line,
0,Low,B,FALSE,2,0,slide ,,line,
0,Low,B,FALSE,3,0,slide ,,line,
0,Low,B,FALSE,4,1,slide ,,line,
0,Low,B,FALSE,5,0,slide ,,line,
0,Low,C,FALSE,1,0,slide ,,line,
0,Low,C,FALSE,2,2,slide ,,line,
0,Low,C,FALSE,3,0,slide ,,line,
0,Low,C,FALSE,4,0,slide ,,line,
0,Low,C,FALSE,5,0,slide ,,line,
0,Low,D,TRUE,1,0,slide ,24,line,
0,Low,D,TRUE,2,0,slide ,23,line,
0,Low,D,TRUE,3,0,slide ,12,line,
0,Low,D,TRUE,4,0,slide ,27,line,
0,Low,D,TRUE,5,0,slide ,16,line,
0,Low,E,TRUE,1,0,slide ,34,line,
0,Low,E,TRUE,2,1,slide ,19,line,
0,Low,E,TRUE,3,0,slide ,47,line,
0,Low,E,TRUE,4,2,slide ,35,line,
0,Low,E,TRUE,5,0,slide ,26,line,
0,Low,F,TRUE,1,0,slide ,30,line,
0,Low,F,TRUE,2,0,slide ,39,line,
0,Low,F,TRUE,3,0,slide ,33,line,end time- 2:25
0,Low,F,TRUE,4,0,slide ,0,line,
0,Low,F,TRUE,5,0,slide ,22,line,
0,High,MIXED A,FALSE,1,7,slide ,,line,
0,High,MIXED B,FALSE,2,2,slide ,,line,
0,High,MIXED C,FALSE,3,0,slide ,,line,
0,High,Mixed D,TRUE,4,9,slide ,15,line,
0,High,mixed E,TRUE,5,3,slide ,27,line,
0,High,Mixed F,TRUE,6,1,slide ,11,line,
1,Low,A,FALSE,1,0,slide ,0,line,
1,Low,A,FALSE,2,0,slide ,0,line,
1,Low,A,FALSE,3,0,slide ,0,line,
1,Low,A,FALSE,4,1,slide ,0,line,
1,Low,A,FALSE,5,0,slide ,0,line,
1,Low,B,FALSE,1,0,slide ,0,line,
1,Low,B,FALSE,2,0,slide ,0,line,
1,Low,B,FALSE,3,0,slide ,0,line,
1,Low,B,FALSE,4,0,slide ,0,line,
1,Low,B,FALSE,5,2,slide ,0,line,
1,Low,C,FALSE,1,0,slide ,0,line,
1,Low,C,FALSE,2,0,slide ,0,line,
1,Low,C,FALSE,3,3,slide ,0,line,
1,Low,C,FALSE,4,0,slide ,0,line,
1,Low,C,FALSE,5,1,slide ,0,line,
1,Low,D,TRUE,1,0,slide ,58,line,
