day,diversity,replicate,competition,clone,rotifers,method_r,protist,method_p,NOTES
0,Low,A,FALSE,1,1,slide ,,Slide ,start time for rotifer only 
0,Low,A,FALSE,2,2,slide ,,Slide ,7:15am
0,Low,A,FALSE,3,3,slide ,,Slide ,end time
0,Low,A,FALSE,4,4,slide ,,Slide ,8:06am
0,Low,A,FALSE,5,2,slide ,,Slide ,
0,Low,B,FALSE,1,2,slide ,,Slide ,
0,Low,B,FALSE,2,1,slide ,,Slide ,
0,Low,B,FALSE,3,2,slide ,,Slide ,
0,Low,B,FALSE,4,1,slide ,,Slide ,
0,Low,B,FALSE,5,3,slide ,,Slide ,
0,Low,C,FALSE,1,2,slide ,,Slide ,
0,Low,C,FALSE,2,1,slide ,,Slide ,
0,Low,C,FALSE,3,3,slide ,,Slide ,
0,Low,C,FALSE,4,3,slide ,,Slide ,
0,Low,C,FALSE,5,1,slide ,,Slide ,
0,Low,D,TRUE,1,0,slide ,2,Slide ,
0,Low,D,TRUE,2,2,slide ,21,Slide ,
0,Low,D,TRUE,3,3,slide ,29,Slide ,
0,Low,D,TRUE,4,0,slide ,32,Slide ,
0,Low,D,TRUE,5,4,slide ,22,Slide ,
0,Low,E,TRUE,1,6,slide ,36,Slide ,
0,Low,E,TRUE,2,4,slide ,19,Slide ,
0,Low,E,TRUE,3,0,slide ,21,Slide ,
0,Low,E,TRUE,4,2,slide ,13,Slide ,
0,Low,E,TRUE,5,4,slide ,27,Slide ,
0,Low,F,TRUE,1,2,slide ,21,Slide ,
0,Low,F,TRUE,2,5,slide ,24,Slide ,
0,Low,F,TRUE,3,6,slide ,21,Slide ,
0,Low,F,TRUE,4,2,slide ,10,Slide ,
0,Low,F,TRUE,5,3,slide ,29,Slide ,
0,High,A,FALSE,mix,2,slide ,,Slide ,
0,High,B,FALSE,mix,6,slide ,,Slide ,
0,High,C,FALSE,mix,1,slide ,,Slide ,
0,High,D,TRUE,mix,6,slide ,24,Slide ,
0,High,E,TRUE,mix,4,slide ,28,Slide ,
0,High,F,TRUE,mix,4,slide ,14,Slide ,
1,Low,A,FALSE,1,1,slide ,,Line ,start time 11;24
1,Low,A,FALSE,2,1,slide ,,Line ,end time 12;43
1,Low,A,FALSE,3,2,slide ,,Line ,
1,Low,A,FALSE,4,0,slide ,,Line ,
1,Low,A,FALSE,5,4,slide ,,Line ,
1,Low,B,FALSE,1,3,slide ,,Line ,
1,Low,B,FALSE,2,5,slide ,,Line ,
1,Low,B,FALSE,3,5,slide ,,Line ,
1,Low,B,FALSE,4,4,slide ,,Line ,
1,Low,B,FALSE,5,2,slide ,,Line ,
1,Low,C,FALSE,1,1,slide ,,Line ,
1,Low,C,FALSE,2,2,slide ,,Line ,
1,Low,C,FALSE,3,2,slide ,,Line ,
1,Low,C,FALSE,4,7,slide ,,Line ,
1,Low,C,FALSE,5,0,slide ,,Line ,
1,Low,D,TRUE,1,2,slide ,22,Line ,
1,Low,D,TRUE,2,0,slide ,18,Line ,
1,Low,D,TRUE,3,0,slide ,35,Line ,
1,Low,D,TRUE,4,0,slide ,10,Line ,
1,Low,D,TRUE,5,0,slide ,35,Line ,
1,Low,E,TRUE,1,2,slide ,19,Line ,
1,Low,E,TRUE,2,0,slide ,15,Line ,
1,Low,E,TRUE,3,3,slide ,21,Line ,
1,Low,E,TRUE,4,5,slide ,18,Line ,
1,Low,E,TRUE,5,1,slide ,13,Line ,
1,Low,F,TRUE,1,1,slide ,25,Line ,
1,Low,F,TRUE,2,3,slide ,17,Line ,
1,Low,F,TRUE,3,5,slide ,11,Line ,
1,Low,F,TRUE,4,3,slide ,21,Line ,
1,Low,F,TRUE,5,0,slide ,33,Line ,
1,High,A,FALSE,mix,2,slide ,,Line ,
1,High,B,FALSE,mix,0,slide ,,Line ,
1,High,C,FALSE,mix,0,slide ,,Line ,
1,High,D,TRUE,mix,1,slide ,18,Line ,
1,High,E,TRUE,mix,0,slide ,20,Line ,
1,High,F,TRUE,mix,1,slide ,14,Line ,
2,Low,A,FALSE,1,9,slide ,,Line ,start Time: 7;14am
2,Low,A,FALSE,2,2,slide ,,Line ,end time:9;03am
2,Low,A,FALSE,3,4,slide ,,Line ,
2,Low,A,FALSE,4,0,slide ,,Line ,
2,Low,A,FALSE,5,3,slide ,,Line ,
2,Low,B,FALSE,1,7,slide ,,Line ,
2,Low,B,FALSE,2,5,slide ,,Line ,
2,Low,B,FALSE,3,4,slide ,,Line ,
2,Low,B,FALSE,4,2,slide ,,Line ,
2,Low,B,FALSE,5,1,slide ,,Line ,
2,Low,C,FALSE,1,2,slide ,,Line ,
2,Low,C,FALSE,2,4,slide ,,Line ,
2,Low,C,FALSE,3,3,slide ,,Line ,
2,Low,C,FALSE,4,1,slide ,,Line ,
2,Low,C,FALSE,5,2,slide ,,Line ,
2,Low,D,TRUE,1,4,slide ,47,Line ,
2,Low,D,TRUE,2,1,slide ,41,Line ,
2,Low,D,TRUE,3,1,slide ,28,Line ,
2,Low,D,TRUE,4,1,slide ,45,Line ,
2,Low,D,TRUE,5,0,slide ,36,Line ,
2,Low,E,TRUE,1,7,slide ,50,Line ,
2,Low,E,TRUE,2,0,slide ,33,Line ,
2,Low,E,TRUE,3,1,slide ,23,Line ,
2,Low,E,TRUE,4,4,slide ,38,Line ,
2,Low,E,TRUE,5,4,slide ,22,Line ,
2,Low,F,TRUE,1,5,slide ,52,Line ,
2,Low,F,TRUE,2,0,slide ,23,Line ,
2,Low,F,TRUE,3,2,slide ,20,Line ,
2,Low,F,TRUE,4,1,slide ,50,Line ,
2,Low,F,TRUE,5,1,slide ,44,Line ,
2,High,A,FALSE,mix,0,slide ,,Line ,
2,High,B,FALSE,mix,2,slide ,,Line ,
2,High,C,FALSE,mix,0,slide ,,Line ,
2,High,D,TRUE,mix,2,slide ,48,Line ,
2,High,E,TRUE,mix,4,slide ,44,Line ,
2,High,F,TRUE,mix,6,slide ,31,Line ,
3,Low,A,FALSE,1,6,slide ,,Line ,start time 9:43am
3,Low,A,FALSE,2,1,slide ,,Line ,end time 11:09am
3,Low,A,FALSE,3,1,slide ,,Line ,
3,Low,A,FALSE,4,1,slide ,,Line ,
3,Low,A,FALSE,5,12,slide ,,Line ,
3,Low,B,FALSE,1,0,slide ,,Line ,
3,Low,B,FALSE,2,2,slide ,,Line ,
3,Low,B,FALSE,3,2,slide ,,Line ,
3,Low,B,FALSE,4,2,slide ,,Line ,
3,Low,B,FALSE,5,0,slide ,,Line ,
3,Low,C,FALSE,1,1,slide ,,Line ,
3,Low,C,FALSE,2,1,slide ,,Line ,
3,Low,C,FALSE,3,4,slide ,,Line ,
3,Low,C,FALSE,4,5,slide ,,Line ,
3,Low,C,FALSE,5,4,slide ,,Line ,
3,Low,D,TRUE,1,4,slide ,51,Line ,
3,Low,D,TRUE,2,4,slide ,45,Line ,
3,Low,D,TRUE,3,3,slide ,40,Line ,
3,Low,D,TRUE,4,1,slide ,19,Line ,
3,Low,D,TRUE,5,3,slide ,34,Line ,
3,Low,E,TRUE,1,2,slide ,37,Line ,
3,Low,E,TRUE,2,2,slide ,41,Line ,
3,Low,E,TRUE,3,2,slide ,24,Line ,
3,Low,E,TRUE,4,5,slide ,49,Line ,
3,Low,E,TRUE,5,0,slide ,23,Line ,
3,Low,F,TRUE,1,2,slide ,46,Line ,
3,Low,F,TRUE,2,2,slide ,36,Line ,
3,Low,F,TRUE,3,0,slide ,60,Line ,
3,Low,F,TRUE,4,6,slide ,41,Line ,
3,Low,F,TRUE,5,5,slide ,70,Line ,
3,High,A,FALSE,mix,1,slide ,,Line ,
3,High,B,FALSE,mix,1,slide ,,Line ,
3,High,C,FALSE,mix,0,slide ,,Line ,
3,High,D,TRUE,mix,4,slide ,45,Line ,
3,High,E,TRUE,mix,0,slide ,62,Line ,
3,High,F,TRUE,mix,2,slide ,65,Line ,
4,Low,A,FALSE,1,5,slide ,,Line ,start time ~ 12:31pm
4,Low,A,FALSE,2,1,slide ,,Line ,end time~ 1:55pm
4,Low,A,FALSE,3,6,slide ,,Line ,
4,Low,A,FALSE,4,4,slide ,,Line ,
4,Low,A,FALSE,5,5,slide ,,Line ,
4,Low,B,FALSE,1,14,slide ,,Line ,
4,Low,B,FALSE,2,4,slide ,,Line ,
4,Low,B,FALSE,3,9,slide ,,Line ,
4,Low,B,FALSE,4,7,slide ,,Line ,
4,Low,B,FALSE,5,5,slide ,,Line ,
4,Low,C,FALSE,1,13,slide ,,Line ,
4,Low,C,FALSE,2,6,slide ,,Line ,
4,Low,C,FALSE,3,3,slide ,,Line ,
4,Low,C,FALSE,4,7,slide ,,Line ,
4,Low,C,FALSE,5,3,slide ,,Line ,
4,Low,D,TRUE,1,6,slide ,70,Line ,
4,Low,D,TRUE,2,0,slide ,56,Line ,
4,Low,D,TRUE,3,4,slide ,115,Line ,
4,Low,D,TRUE,4,1,slide ,67,Line ,
4,Low,D,TRUE,5,4,slide ,62,Line ,
4,Low,E,TRUE,1,7,slide ,52,Line ,
4,Low,E,TRUE,2,3,slide ,68,Line ,
4,Low,E,TRUE,3,7,slide ,96,Line ,
4,Low,E,TRUE,4,1,slide ,171,Line ,
4,Low,E,TRUE,5,6,slide ,110,Line ,
4,Low,F,TRUE,1,8,slide ,101,Line ,
4,Low,F,TRUE,2,5,slide ,87,Line ,
4,Low,F,TRUE,3,3,slide ,134,Line ,
4,Low,F,TRUE,4,3,slide ,119,Line ,
4,Low,F,TRUE,5,0,slide ,142,Line ,
4,High,A,FALSE,mix,6,slide ,,Line ,
4,High,B,FALSE,mix,3,slide ,,Line ,
4,High,C,FALSE,mix,8,slide ,,Line ,
4,High,D,TRUE,mix,5,slide ,85,Line ,
4,High,E,TRUE,mix,0,slide ,91,Line ,
4,High,F,TRUE,mix,3,slide ,80,Line ,
